"CohortGroup","cohortname","TotalUsers","Days0to6","Days7to13","Days14to20","Days21to27","Days28to34","Days35to41","Days42to48","Days49to55","Days56to62","Days63to69","Days70to76","Days77to83","Days84to90","Days91to97","Days98to104","Days105to111","Days112to118","Days119to125","Days126to132","Days133to139","Days140to146","Days147to153","Days154to160","Days161to167","Days168to174","Days175to181","Days182to188"
1,"2014-12-31 to 2015-01-06",52,"61.54% orderers ( 32 )","26.92% orderers ( 14 )","23.08% orderers ( 12 )","19.23% orderers ( 10 )","23.08% orderers ( 12 )","11.54% orderers ( 6 )","11.54% orderers ( 6 )","15.38% orderers ( 8 )","13.46% orderers ( 7 )","5.77% orderers ( 3 )","9.62% orderers ( 5 )","13.46% orderers ( 7 )","9.62% orderers ( 5 )","9.62% orderers ( 5 )","11.54% orderers ( 6 )","13.46% orderers ( 7 )","5.77% orderers ( 3 )","13.46% orderers ( 7 )","15.38% orderers ( 8 )","5.77% orderers ( 3 )","5.77% orderers ( 3 )","11.54% orderers ( 6 )","3.85% orderers ( 2 )","7.69% orderers ( 4 )","13.46% orderers ( 7 )","7.69% orderers ( 4 )","3.85% orderers ( 2 )"
NA,NA,NA,"61.54% 1st time ( 32 )","11.54% 1st time ( 6 )","3.85% 1st time ( 2 )","1.92% 1st time ( 1 )","5.77% 1st time ( 3 )"," ( NA )","1.92% 1st time ( 1 )"," ( NA )","1.92% 1st time ( 1 )"," ( NA )"," ( NA )","3.85% 1st time ( 2 )"," ( NA )","1.92% 1st time ( 1 )","1.92% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )","1.92% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )","1.92% 1st time ( 1 )"," ( NA )",NA
2,"2015-01-07 to 2015-01-13",548,"38.5% orderers ( 211 )","25.18% orderers ( 138 )","17.88% orderers ( 98 )","18.43% orderers ( 101 )","15.88% orderers ( 87 )","14.78% orderers ( 81 )","14.96% orderers ( 82 )","16.61% orderers ( 91 )","16.06% orderers ( 88 )","14.42% orderers ( 79 )","9.67% orderers ( 53 )","11.5% orderers ( 63 )","12.41% orderers ( 68 )","11.31% orderers ( 62 )","13.32% orderers ( 73 )","14.05% orderers ( 77 )","10.58% orderers ( 58 )","11.5% orderers ( 63 )","10.58% orderers ( 58 )","11.31% orderers ( 62 )","8.76% orderers ( 48 )","9.67% orderers ( 53 )","11.68% orderers ( 64 )","11.86% orderers ( 65 )","8.39% orderers ( 46 )","5.11% orderers ( 28 )"," ( NA )"
NA,NA,NA,"38.5% 1st time ( 211 )","15.69% 1st time ( 86 )","7.12% 1st time ( 39 )","4.2% 1st time ( 23 )","4.01% 1st time ( 22 )","2.74% 1st time ( 15 )","2.74% 1st time ( 15 )","2.92% 1st time ( 16 )","3.83% 1st time ( 21 )","2.37% 1st time ( 13 )","0.55% 1st time ( 3 )","1.28% 1st time ( 7 )","0.91% 1st time ( 5 )","1.28% 1st time ( 7 )","1.09% 1st time ( 6 )","2.37% 1st time ( 13 )","0.91% 1st time ( 5 )","1.28% 1st time ( 7 )","0.73% 1st time ( 4 )","0.55% 1st time ( 3 )","0.73% 1st time ( 4 )","1.28% 1st time ( 7 )","0.55% 1st time ( 3 )","0.91% 1st time ( 5 )","0.55% 1st time ( 3 )","0.91% 1st time ( 5 )",NA
3,"2015-01-14 to 2015-01-20",275,"53.09% orderers ( 146 )","23.64% orderers ( 65 )","17.09% orderers ( 47 )","10.91% orderers ( 30 )","15.64% orderers ( 43 )","14.91% orderers ( 41 )","20% orderers ( 55 )","14.91% orderers ( 41 )","16.36% orderers ( 45 )","11.27% orderers ( 31 )","12.73% orderers ( 35 )","12% orderers ( 33 )","12.73% orderers ( 35 )","13.45% orderers ( 37 )","12% orderers ( 33 )","14.55% orderers ( 40 )","10.55% orderers ( 29 )","13.45% orderers ( 37 )","10.91% orderers ( 30 )","12.73% orderers ( 35 )","11.27% orderers ( 31 )","14.55% orderers ( 40 )","10.18% orderers ( 28 )","10.91% orderers ( 30 )","7.27% orderers ( 20 )"," ( NA )"," ( NA )"
NA,NA,NA,"53.09% 1st time ( 146 )","11.64% 1st time ( 32 )","5.82% 1st time ( 16 )","2.18% 1st time ( 6 )","3.27% 1st time ( 9 )","1.45% 1st time ( 4 )","4.36% 1st time ( 12 )","1.82% 1st time ( 5 )","2.91% 1st time ( 8 )","1.09% 1st time ( 3 )","0.73% 1st time ( 2 )"," ( NA )","1.45% 1st time ( 4 )","1.09% 1st time ( 3 )","0.73% 1st time ( 2 )","0.73% 1st time ( 2 )","1.45% 1st time ( 4 )","0.36% 1st time ( 1 )","1.82% 1st time ( 5 )","0.36% 1st time ( 1 )","0.73% 1st time ( 2 )","1.45% 1st time ( 4 )","1.09% 1st time ( 3 )"," ( NA )","0.36% 1st time ( 1 )"," ( NA )",NA
4,"2015-01-21 to 2015-01-27",500,"46.8% orderers ( 234 )","21.2% orderers ( 106 )","14.4% orderers ( 72 )","13.4% orderers ( 67 )","15% orderers ( 75 )","16.2% orderers ( 81 )","13% orderers ( 65 )","13.6% orderers ( 68 )","12.8% orderers ( 64 )","11.6% orderers ( 58 )","12.2% orderers ( 61 )","12% orderers ( 60 )","11.8% orderers ( 59 )","12% orderers ( 60 )","9.4% orderers ( 47 )","9.6% orderers ( 48 )","11.6% orderers ( 58 )","9.2% orderers ( 46 )","10.6% orderers ( 53 )","11.4% orderers ( 57 )","10.6% orderers ( 53 )","7.4% orderers ( 37 )","8.4% orderers ( 42 )","4.4% orderers ( 22 )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"46.8% 1st time ( 234 )","12.4% 1st time ( 62 )","4.8% 1st time ( 24 )","4.2% 1st time ( 21 )","3.8% 1st time ( 19 )","5% 1st time ( 25 )","3% 1st time ( 15 )","2.2% 1st time ( 11 )","1.8% 1st time ( 9 )","1% 1st time ( 5 )","1.2% 1st time ( 6 )","2% 1st time ( 10 )","1.6% 1st time ( 8 )","2.4% 1st time ( 12 )","1.6% 1st time ( 8 )","0.6% 1st time ( 3 )","1.4% 1st time ( 7 )","0.6% 1st time ( 3 )","0.6% 1st time ( 3 )","1% 1st time ( 5 )","0.6% 1st time ( 3 )","0.4% 1st time ( 2 )","0.6% 1st time ( 3 )","0.4% 1st time ( 2 )"," ( NA )"," ( NA )",NA
5,"2015-01-28 to 2015-02-03",200,"56.5% orderers ( 113 )","21.5% orderers ( 43 )","18% orderers ( 36 )","14% orderers ( 28 )","18% orderers ( 36 )","14.5% orderers ( 29 )","17.5% orderers ( 35 )","14.5% orderers ( 29 )","12.5% orderers ( 25 )","12% orderers ( 24 )","15% orderers ( 30 )","13.5% orderers ( 27 )","15% orderers ( 30 )","11.5% orderers ( 23 )","11.5% orderers ( 23 )","11.5% orderers ( 23 )","16.5% orderers ( 33 )","11.5% orderers ( 23 )","11% orderers ( 22 )","11.5% orderers ( 23 )","12% orderers ( 24 )","11.5% orderers ( 23 )","7% orderers ( 14 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"56.5% 1st time ( 113 )","8% 1st time ( 16 )","6% 1st time ( 12 )","4% 1st time ( 8 )","4% 1st time ( 8 )","4.5% 1st time ( 9 )","3.5% 1st time ( 7 )","2% 1st time ( 4 )"," ( NA )","0.5% 1st time ( 1 )","1.5% 1st time ( 3 )","1% 1st time ( 2 )","0.5% 1st time ( 1 )","1.5% 1st time ( 3 )","0.5% 1st time ( 1 )","1.5% 1st time ( 3 )","2% 1st time ( 4 )","0.5% 1st time ( 1 )","1% 1st time ( 2 )","0.5% 1st time ( 1 )"," ( NA )","0.5% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
6,"2015-02-04 to 2015-02-10",148,"61.49% orderers ( 91 )","20.27% orderers ( 30 )","19.59% orderers ( 29 )","16.89% orderers ( 25 )","14.19% orderers ( 21 )","14.86% orderers ( 22 )","14.19% orderers ( 21 )","11.49% orderers ( 17 )","14.19% orderers ( 21 )","14.19% orderers ( 21 )","12.16% orderers ( 18 )","15.54% orderers ( 23 )","16.89% orderers ( 25 )","14.86% orderers ( 22 )","16.22% orderers ( 24 )","12.16% orderers ( 18 )","10.81% orderers ( 16 )","11.49% orderers ( 17 )","15.54% orderers ( 23 )","11.49% orderers ( 17 )","13.51% orderers ( 20 )","8.11% orderers ( 12 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"61.49% 1st time ( 91 )","9.46% 1st time ( 14 )","5.41% 1st time ( 8 )","2.7% 1st time ( 4 )","1.35% 1st time ( 2 )","2.7% 1st time ( 4 )","2.03% 1st time ( 3 )"," ( NA )","1.35% 1st time ( 2 )","1.35% 1st time ( 2 )","0.68% 1st time ( 1 )","2.03% 1st time ( 3 )","4.05% 1st time ( 6 )","0.68% 1st time ( 1 )","0.68% 1st time ( 1 )"," ( NA )","0.68% 1st time ( 1 )","0.68% 1st time ( 1 )","1.35% 1st time ( 2 )"," ( NA )","0.68% 1st time ( 1 )","0.68% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
